Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
11;80.15082206791858;69999.98668605377;14002.612358806342;13593.37;14002.612358806342;785.9003571659844;1430.1657820349442;1430.1657820349442;6847.94778672151;6847.947786721758;6847.947786721758;0.0;5724.4987900653;5724.4987900653;2001.56955704;0.0;5315.0;2332.255343444;0.0;8788.0;-9383.068376784182;-9014.971199999998;-368.0971767841846;0.0;13593.37;-2584.60802197701;-409.3015171040006
12;417.8958613370362;69999.98668605377;14002.612358806342;13593.37;14002.612358806342;1430.165782040713;1430.1657820349442;1430.1657820349442;6847.947786721568;6847.947786721758;6847.947786721758;4098.68679305068;5724.4987900653;5724.4987900653;531.55315;0.0;5315.0;3054.982871356;0.0;8788.0;-11949.862477036906;-11520.0096;-429.852877036907;0.0;13593.37;-4013.47754750664;-409.3015171040006
13;70.16982781485305;69999.98668605377;14002.612358806342;13593.37;14002.612358806342;473.9767983790143;1430.1657820349442;1430.1657820349442;6269.034956110967;6847.947786721758;6847.947786721758;0.0;5724.4987900653;5724.4987900653;2309.578330105;0.0;5315.0;3377.281400428;0.0;8788.0;-9518.54618296025;-9144.2208;-374.3253829602503;0.0;13593.37;-2911.32956225299;-409.3015171040006
14;70.28681077852906;69999.98668605377;14002.612358806342;13593.37;14002.612358806342;477.6238985496811;1430.1657820349442;1430.1657820349442;6283.448892271319;6847.947786721758;6847.947786721758;0.0;5724.4987900653;5724.4987900653;2473.819675045;0.0;5315.0;3304.9504042880003;0.0;8788.0;-9454.512573147289;-9082.716;-371.7965731472878;0.0;13593.37;-3085.3350227434507;-409.3015171040006
15;72.42565140018647;69999.98668605377;14002.612358806342;13593.37;14002.612358806342;544.4583423421534;1430.1657820349442;1430.1657820349442;6550.734241408859;6847.947786721758;6847.947786721758;0.0;5724.4987900653;5724.4987900653;2667.884452315;0.0;5315.0;2613.375070904;0.0;8788.0;-9281.53294045041;-8916.7296;-364.8033404504087;0.0;13593.37;-3094.9241372321035;-409.3015171040006
16;80.20107706090985;69999.98668605377;14002.612358806342;13593.37;14002.612358806342;787.4708278305549;1430.1657820349442;1430.1657820349442;6847.947786721525;6847.947786721758;6847.947786721758;0.0;5724.4987900653;5724.4987900653;2822.4763084549995;0.0;5315.0;1431.583804196;0.0;8788.0;-9084.628197588805;-8728.243199999999;-356.38499758880664;0.0;13593.37;-2804.853883894205;-409.3015171040006
17;102.33735376592483;69999.98668605377;14002.612358806342;13593.37;14002.612358806342;1430.1657818914991;1430.1657820349442;1430.1657820349442;6847.947786721582;6847.947786721758;6847.947786721758;154.20546038729444;5724.4987900653;5724.4987900653;2929.87065101;0.0;5315.0;307.25238336;0.0;8788.0;-9232.874158420695;-8872.6392;-360.2349584206953;0.0;13593.37;-2436.571542553944;-409.3015171040006
18;547.9626942609493;69999.98668605377;14002.612358806342;13593.37;14002.612358806342;1430.1657820407772;1430.1657820349442;1430.1657820349442;6847.947786721579;6847.947786721758;6847.947786721758;5724.4903804486485;5724.4987900653;5724.4987900653;531.55315;0.0;5315.0;0.0050003719999999995;0.0;8788.0;-12928.774859489084;-12480.0096;-448.76525948908363;0.0;13593.37;-1605.3953148151447;-409.3015171040006
19;547.9626998454378;69999.98668605377;14002.612358806342;13593.37;14002.612358806342;1430.1657820465202;1430.1657820349442;1430.1657820349442;6847.947786721678;6847.947786721758;6847.947786721758;5724.490423781957;5724.4987900653;5724.4987900653;531.55315;0.0;5315.0;0.0;0.0;8788.0;-15912.33599304091;-15360.0096;-552.3263930409096;0.0;13593.37;1378.1707816661701;-409.3015171040006
20;128.25049535710815;69999.98668605377;14002.612358806342;13593.37;14002.612358806342;1430.1657820461892;1430.1657820349442;1430.1657820349442;6847.947786721681;6847.947786721758;6847.947786721758;478.1197322339687;5724.4987900653;5724.4987900653;3184.90721614;0.0;5315.0;0.0;0.0;8788.0;-9860.624977988093;-9478.356;-382.26897798809307;0.0;13593.37;-2080.519176127848;-409.3015171040006
21;95.64342319760732;69999.98668605377;14002.612358806342;13593.37;14002.612358806342;1270.0386678155157;1430.1657820349442;1430.1657820349442;6847.947786721681;6847.947786721758;6847.947786721758;70.53131495814164;5724.4987900653;5724.4987900653;3260.153249695;0.0;5315.0;0.0;0.0;8788.0;-9401.169808573588;-9033.7632;-367.40660857358927;0.0;13593.37;-2047.504856410437;-409.3015171040006
22;80.55947563917601;69999.98668605377;14002.612358806342;13593.37;14002.612358806342;798.6707955397562;1430.1657820349442;1430.1657820349442;6847.947786721647;6847.947786721758;6847.947786721758;0.0;5724.4987900653;5724.4987900653;3343.848841705;0.0;5315.0;0.0;0.0;8788.0;-9059.5782823091;-8704.207199999999;-355.37108230910076;0.0;13593.37;-1930.8924952919547;-409.3015171040006
23;72.72243868987141;69999.98668605377;14002.612358806342;13593.37;14002.612358806342;553.7727784830148;1430.1657820349442;1430.1657820349442;6588.886253117723;6847.947786721758;6847.947786721758;0.0;5724.4987900653;5724.4987900653;3435.394019025;0.0;5315.0;0.0;0.0;8788.0;-8833.169141788134;-8486.0136;-347.1555417881339;0.0;13593.37;-1744.886755811421;-409.3015171040006
24;69.37250311544054;69999.98668605377;14002.612358806342;13593.37;14002.612358806342;449.0952261089523;1430.1657820349442;1430.1657820349442;6170.347870553719;6847.947786721758;6847.947786721758;0.0;5724.4987900653;5724.4987900653;3506.86525454;0.0;5315.0;0.0;0.0;8788.0;-8598.765690419887;-8260.5456;-338.22009041988724;0.0;13593.37;-1527.545082709695;-409.3015171040006
