Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
11;48.71889589222284;72411.90427391772;54507.992325687745;54507.97;54507.992325687745;0.0;9662.292473019917;9662.292473019917;25898.61986527749;28351.22071471999;28351.22071471999;0.0;16494.47913794734;16494.47913794734;13913.999993165999;0.0;72618.0;28515.000012456;0.0;86952.0;-62327.61987089952;-59863.68;-2463.9398708995186;0.0;54507.97;-5999.999999999973;0.0
12;40.18165319721281;72411.90427391772;54507.992325687745;54507.97;54507.992325687745;0.0;9662.292473019917;9662.292473019917;15225.9467459226;28351.22071471999;28351.22071471999;0.0;16494.47913794734;16494.47913794734;14956.249983402;0.0;72618.0;35306.249979528;0.0;86952.0;-60158.56757486856;-57775.439999999995;-2383.1275748685653;0.0;54507.97;-5329.878985739143;0.0
13;34.36826221966663;72411.90427391772;54507.992325687745;54507.97;54507.992325687745;0.0;9662.292473019917;9662.292473019917;7959.666117805248;28351.22071471999;28351.22071471999;0.0;16494.47913794734;16494.47913794734;16080.750025158;0.0;72618.0;39113.000018232;0.0;86952.0;-57890.09733863258;-55593.6;-2296.497338632577;0.0;54507.97;-5263.318732761084;0.0
14;32.01857032701986;72411.90427391772;54507.992325687745;54507.97;54507.992325687745;0.0;9662.292473019917;9662.292473019917;5022.590237669438;28351.22071471999;28351.22071471999;0.0;16494.47913794734;16494.47913794734;17593.500025374;0.0;72618.0;39785.749989936;0.0;86952.0;-56940.01278200693;-54679.92;-2260.092782006933;0.0;54507.97;-5461.827386461747;0.0
15;30.95458295949062;72411.90427391772;54507.992325687745;54507.97;54507.992325687745;0.0;9662.292473019917;9662.292473019917;3692.5540432537427;28351.22071471999;28351.22071471999;0.0;16494.47913794734;16494.47913794734;19664.500029174;0.0;72618.0;37818.249957431995;0.0;86952.0;-55600.2838341289;-53392.799999999996;-2207.4838341289083;0.0;54507.97;-5575.020104163774;0.0
16;38.350341013868295;72411.90427391772;54507.992325687745;54507.97;54507.992325687745;0.0;9662.292473019917;9662.292473019917;12878.16567246748;28351.22071471999;28351.22071471999;0.0;16494.47913794734;16494.47913794734;14724.700010748;0.0;72618.0;33166.75002192;0.0;86952.0;-54815.96980052557;-52643.52;-2172.44980052557;0.0;54507.97;-5953.642838019702;0.0
17;35.93286925125039;72411.90427391772;54507.992325687745;54507.97;54507.992325687745;0.0;9662.292473019917;9662.292473019917;9916.08656406396;28351.22071471999;28351.22071471999;0.0;16494.47913794734;16494.47913794734;24635.000033279997;0.0;72618.0;26151.75003828;0.0;86952.0;-54702.83663562397;-52533.6;-2169.236635623973;0.0;54507.97;-5999.999999999964;0.0
18;43.80199581168634;72411.90427391772;54507.992325687745;54507.97;54507.992325687745;0.0;9662.292473019917;9662.292473019917;19752.49476460805;28351.22071471999;28351.22071471999;0.0;16494.47913794734;16494.47913794734;26239.749995550002;0.0;72618.0;16499.249994383998;0.0;86952.0;-56491.494754542065;-54255.6;-2235.8947545420674;0.0;54507.97;-5999.999999999989;0.0
19;4000.0002849633506;72411.90427391772;54507.992325687745;54507.97;54507.992325687745;9662.292473020345;9662.292473019917;9662.292473019917;28351.220714720057;28351.22071471999;28351.22071471999;16494.47913794734;16494.47913794734;16494.47913794734;26005.249989264;0.0;72618.0;6593.499989736;0.0;86952.0;-93106.73966195706;-93106.72909414746;-0.01056780959031749;2893.270905852536;54507.97;6000.000000000072;0.0
20;191.7252821374705;72411.90427391772;54507.992325687745;54507.97;54507.992325687745;9662.292472919042;9662.292473019917;9662.292473019917;28351.220714719962;28351.22071471999;28351.22071471999;14715.975611625785;16494.47913794734;16494.47913794734;4894.099986048;0.0;72618.0;1033.499994336;0.0;86952.0;-59773.42912096561;-57492.71999999998;-2280.709120965632;2.1827872842550278e-11;54507.97;1116.3399536065783;0.0
