Timestep;EOM_price;CM_price;TotalCapOffer;Gen_A_Baseload;new_Capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_MidMerit;new_Capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_PV;new_Capacity_Gen_A_PV;Capacity_Gen_A_PV;Gen_A_Peak;new_Capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_Capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager;ENS_Cons_A
12.0;34.43;64111.68;48554.94;8036.81;27801.67;27801.67;0.0;9673.22;9673.22;35306.25;0.0;86952.0;0.0;11080.06;11080.06;14956.25;0.0;72618.0;60162.03;57775.44;2386.59;49857.35;1862.72;1302.4;0.0
13.0;28.45;64111.68;48554.94;561.38;27801.67;27801.67;0.0;9673.22;9673.22;39113.0;0.0;86952.0;0.0;11080.06;11080.06;16080.75;0.0;72618.0;57893.53;55593.6;2299.93;49857.35;2138.39;1302.4;0.0
14.0;0.0;64111.68;48554.94;0.0;27801.67;27801.67;0.0;9673.22;9673.22;39785.75;0.0;86952.0;0.0;11080.06;11080.06;16807.14;0.0;72618.0;56958.19;54679.92;2278.27;49857.35;365.3;1302.4;0.0
15.0;0.0;64111.68;48554.94;0.0;27801.67;27801.67;0.0;9673.22;9673.22;36431.74;0.0;86952.0;0.0;11080.06;11080.06;19664.5;0.0;72618.0;55617.44;53392.8;2224.64;49857.35;-478.79;1302.4;0.0
16.0;32.76;64111.68;48554.94;5944.06;27801.67;27801.67;0.0;9673.22;9673.22;33166.75;0.0;86952.0;0.0;11080.06;11080.06;14724.7;0.0;72618.0;54819.04;52643.52;2175.52;49857.35;983.53;1302.4;0.0
17.0;32.05;64111.68;48554.94;5063.58;27801.67;27801.67;0.0;9673.22;9673.22;26151.75;0.0;86952.0;0.0;11080.06;11080.06;24635.0;0.0;72618.0;54704.96;52533.6;2171.36;49857.35;-1145.37;1302.4;0.0
18.0;42.01;64111.68;48554.94;17511.54;27801.67;27801.67;0.0;9673.22;9673.22;16499.25;0.0;86952.0;0.0;11080.06;11080.06;26239.75;0.0;72618.0;56492.51;54255.6;2236.91;49857.35;-3758.03;1302.4;0.0
19.0;231.6;64111.68;48554.94;27801.67;27801.67;27801.67;9673.22;9673.22;9673.22;6593.5;0.0;86952.0;11080.06;11080.06;11080.06;26005.25;0.0;72618.0;86775.84;86774.78;1.06;49857.35;5622.15;1302.4;9225.22
20.0;1291.8;64111.68;48554.94;27801.67;27801.67;27801.67;9673.22;9673.22;9673.22;1033.5;0.0;86952.0;11080.06;11080.06;11080.06;4894.1;0.0;72618.0;56916.77;56915.96;0.82;49857.35;2434.23;1302.4;576.76
21.0;141.35;64111.68;48554.94;27801.67;27801.67;27801.67;9673.22;9673.22;9673.22;5.0;0.0;86952.0;8418.97;11080.06;11080.06;13883.4;0.0;72618.0;59152.26;57020.4;2131.86;49857.35;-630.0;1302.4;0.0
22.0;71.39;64111.68;48554.94;27801.67;27801.67;27801.67;6371.4;9673.22;9673.22;0.0;0.0;86952.0;0.0;11080.06;11080.06;29112.0;0.0;72618.0;57285.08;55032.96;2252.12;49857.35;-6000.0;1302.4;0.0
23.0;62.39;64111.68;48554.94;27801.67;27801.67;27801.67;3559.28;9673.22;9673.22;0.0;0.0;86952.0;0.0;11080.06;11080.06;28376.25;0.0;72618.0;53737.2;51619.92;2117.28;49857.35;-6000.0;1302.4;0.0
24.0;53.38;64111.68;48554.94;27801.67;27801.67;27801.67;743.76;9673.22;9673.22;0.0;0.0;86952.0;0.0;11080.06;11080.06;27203.75;0.0;72618.0;49749.18;47784.72;1964.46;49857.35;-6000.0;1302.4;0.0
