Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
11;67.25930750548933;59999.9999974562;26395.068994417546;21510.599000000002;26395.068994417546;383.10335954673616;2323.807024869134;2323.807024869134;4407.413438185145;4692.321234483758;4692.321234483758;0.0;19378.94073506467;19378.94073506467;1548.250005204;0.0;11706.0;2379.750007478;0.0;27259.0;-13718.516810413872;-13178.64;-539.8768104138722;0.0;21510.599000000002;4999.999999999991;-4884.4699999999875
12;55.957615403100924;59999.9999974562;26395.068994417546;21510.599000000002;26395.068994417546;29.918181311771374;2323.807024869134;2323.807024869134;2994.4982428583176;4692.321234483758;4692.321234483758;0.0;19378.94073506467;19378.94073506467;1360.249994658;0.0;11706.0;3263.5000080930004;0.0;27259.0;-13318.2932272433;-12792.72;-525.5732272433015;0.0;21510.599000000002;5670.126422858055;-4884.4699999999875
13;44.863131786330676;59999.9999974562;26395.068994417546;21510.599000000002;26395.068994417546;0.0;2323.807024869134;2323.807024869134;1607.7393815723726;4692.321234483758;4692.321234483758;0.0;19378.94073506467;19378.94073506467;1595.999996628;0.0;11706.0;3975.000006082;0.0;27259.0;-12915.453121993774;-12404.4;-511.05312199377454;0.0;21510.599000000002;5736.713459632269;-4884.4699999999875
14;40.78930946879446;59999.9999974562;26395.068994417546;21510.599000000002;26395.068994417546;0.0;2323.807024869134;2323.807024869134;1098.5107523041522;4692.321234483758;4692.321234483758;0.0;19378.94073506467;19378.94073506467;1905.750004368;0.0;11706.0;4362.499993474;0.0;27259.0;-12904.983997580783;-12393.84;-511.1439975807823;0.0;21510.599000000002;5538.22296782128;-4884.4699999999875
15;36.90712257075324;59999.9999974562;26395.068994417546;21510.599000000002;26395.068994417546;0.0;2323.807024869134;2323.807024869134;613.2001704259309;4692.321234483758;4692.321234483758;0.0;19378.94073506467;19378.94073506467;2355.000004398;0.0;11706.0;4377.2500019280005;0.0;27259.0;-12770.535022091712;-12264.24;-506.295022091712;0.0;21510.599000000002;5425.084497677334;-4884.4699999999875
16;38.45030144793649;59999.9999974562;26395.068994417546;21510.599000000002;26395.068994417546;0.0;2323.807024869134;2323.807024869134;811.7421184049548;4692.321234483758;4692.321234483758;0.0;19378.94073506467;19378.94073506467;3071.9999962379998;0.0;11706.0;4046.2499891670004;0.0;27259.0;-12669.126838444785;-12167.039999999999;-502.08683844478537;0.0;21510.599000000002;4739.149166807182;-4884.4699999999875
17;39.56391740592761;59999.9999974562;26395.068994417546;21510.599000000002;26395.068994417546;0.0;2323.807024869134;2323.807024869134;945.4971169976186;4692.321234483758;4692.321234483758;0.0;19378.94073506467;19378.94073506467;3758.500005078;0.0;11706.0;3579.7500124000003;0.0;27259.0;-12716.466876272947;-12212.64;-503.82687627294797;0.0;21510.599000000002;4432.71975450839;-4884.4699999999875
18;49.65593188207108;59999.9999974562;26395.068994417546;21510.599000000002;26395.068994417546;0.0;2323.807024869134;2323.807024869134;2206.9608991923706;4692.321234483758;4692.321234483758;0.0;19378.94073506467;19378.94073506467;4183.250002644;0.0;11706.0;2769.999991826;0.0;27259.0;-13313.88558147946;-12787.68;-526.20558147946;0.0;21510.599000000002;4153.6746355698215;-4884.4699999999875
19;328.3748519922513;59999.9999974562;26395.068994417546;21510.599000000002;26395.068994417546;2323.8070248691256;2323.807024869134;2323.807024869134;4692.321234481943;4692.321234483758;4692.321234483758;3129.68480517173;19378.94073506467;19378.94073506467;4167.9999994380005;0.0;11706.0;1756.9999979840002;0.0;27259.0;-13631.340633607884;-13129.199999999995;-502.1406336078883;3.637978807091713e-12;21510.599000000002;-2439.472742967103;-4884.4699999999875
20;329.3066320253288;59999.9999974562;26395.068994417546;21510.599000000002;26395.068994417546;2323.807024869126;2323.807024869134;2323.807024869134;4692.321234481975;4692.321234483758;4692.321234483758;3141.331602439355;19378.94073506467;19378.94073506467;4092.499998534;0.0;11706.0;925.250001762;0.0;27259.0;-14178.65448395743;-13656.479999999996;-522.1744839574336;3.637978807091713e-12;21510.599000000002;-996.5558623179671;-4884.4699999999875
