Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
11;79.79016807978383;69622.6653841217;14828.998613770134;14829.0;14828.998613770134;774.6986559302453;1426.7804284807773;1426.7804284807773;6854.058372463254;6854.058372463436;6854.058372463436;0.0;6548.159812825662;6548.159812825662;2001.56955704;0.0;5315.0;2332.255343444;0.0;8788.0;-9383.102226186751;-9014.971199999998;-368.1310261867521;0.0;14829.0;-2579.4790770227833;0.0
12;450.6141182047613;69622.6653841217;14828.998613770134;14829.0;14828.998613770134;1426.780428480916;1426.7804284807773;1426.7804284807773;6854.058372463145;6854.058372463436;6854.058372463436;5843.568737100663;6548.159812825662;6548.159812825662;531.55315;0.0;5315.0;882.985821068;0.0;8788.0;-14335.121521541085;-13824.0096;-511.1119215410871;0.0;14829.0;-1203.8249264832482;0.0
13;70.18796557050916;69622.6653841217;14828.998613770134;14829.0;14828.998613770134;474.62264526138455;1426.7804284807773;1426.7804284807773;6273.40457937203;6854.058372463436;6854.058372463436;0.0;6548.159812825662;6548.159812825662;2309.578330105;0.0;5315.0;3377.281400428;0.0;8788.0;-9518.544435015434;-9144.2208;-374.3236350154348;0.0;14829.0;-2916.342573573767;0.0
14;70.30558790937079;69622.6653841217;14828.998613770134;14829.0;14828.998613770134;478.29497253123674;1426.7804284807773;1426.7804284807773;6288.043371747389;6854.058372463436;6854.058372463436;0.0;6548.159812825662;6548.159812825662;2473.819675045;0.0;5315.0;3304.9504042880003;0.0;8788.0;-9454.510775426357;-9082.716;-371.79477542635635;0.0;14829.0;-3090.5980256922185;0.0
15;72.44308332184883;69622.6653841217;14828.998613770134;14829.0;14828.998613770134;545.085758392372;1426.7804284807773;1426.7804284807773;6555.125755145736;6854.058372463436;6854.058372463436;0.0;6548.159812825662;6548.159812825662;2667.884452315;0.0;5315.0;2613.375070904;0.0;8788.0;-9281.531301462095;-8916.7296;-364.80170146209366;0.0;14829.0;-3099.9406931354406;0.0
16;79.84041287067689;69622.6653841217;14828.998613770134;14829.0;14828.998613770134;776.2688093417752;1426.7804284807773;1426.7804284807773;6854.058372463239;6854.058372463436;6854.058372463436;0.0;6548.159812825662;6548.159812825662;2822.4763084549995;0.0;5315.0;1431.583804196;0.0;8788.0;-9084.660971327781;-8728.243199999999;-356.4177713277819;0.0;14829.0;-2799.7256971022753;0.0
17;107.74818638246684;69622.6653841217;14828.998613770134;14829.0;14828.998613770134;1426.7804284811396;1426.7804284807773;1426.7804284807773;6854.058372463308;6854.058372463436;6854.058372463436;129.136546358872;6548.159812825662;6548.159812825662;2929.87065101;0.0;5315.0;307.25238336;0.0;8788.0;-9232.37405410737;-8872.6392;-359.7348541073705;0.0;14829.0;-2414.7242649490054;0.0
18;578.3328233127727;69622.6653841217;14828.998613770134;14829.0;14828.998613770134;1426.7804284810347;1426.7804284807773;1426.7804284807773;6854.058372463186;6854.058372463436;6854.058372463436;6548.159812729734;6548.159812825662;6548.159812825662;531.55315;0.0;5315.0;0.0050003719999999995;0.0;8788.0;-14316.730015450126;-13824.0096;-492.72041545012837;0.0;14829.0;-1043.8267203636283;0.0
19;596.1135997192331;69622.6653841217;14828.998613770134;14829.0;14828.998613770134;1426.780428480622;1426.7804284807773;1426.7804284807773;6854.058372463243;6854.058372463436;6854.058372463436;6548.159812799246;6548.159812825662;6548.159812825662;531.55315;0.0;5315.0;0.0;0.0;8788.0;-15904.631764433638;-15360.0096;-544.6221644336401;0.0;14829.0;544.0800006742845;0.0
20;125.73996427327572;69622.6653841217;14828.998613770134;14829.0;14828.998613770134;1426.7804284807094;1426.7804284807773;1426.7804284807773;6854.058372463393;6854.058372463436;6854.058372463436;428.9995110464965;6548.159812825662;6548.159812825662;3184.90721614;0.0;5315.0;0.0;0.0;8788.0;-9860.872831563645;-9478.356;-382.516831563645;0.0;14829.0;-2033.8726339988236;0.0
21;98.20451576418368;69622.6653841217;14828.998613770134;14829.0;14828.998613770134;1350.1480295060617;1426.7804284807773;1426.7804284807773;6854.058372463384;6854.058372463436;6854.058372463436;0.0;6548.159812825662;6548.159812825662;3260.153249695;0.0;5315.0;0.0;0.0;8788.0;-9400.928785476977;-9033.7632;-367.1655854769775;0.0;14829.0;-2063.4301416722587;0.0
22;80.19872169770875;69622.6653841217;14828.998613770134;14829.0;14828.998613770134;787.4659639657294;1426.7804284807773;1426.7804284807773;6854.058372463325;6854.058372463436;6854.058372463436;0.0;6548.159812825662;6548.159812825662;3343.848841705;0.0;5315.0;0.0;0.0;8788.0;-9059.610973935763;-8704.207199999999;-355.4037739357647;0.0;14829.0;-1925.7615778114196;0.0
23;72.73407466567626;69622.6653841217;14828.998613770134;14829.0;14828.998613770134;554.187077572522;1426.7804284807773;1426.7804284807773;6591.66448410071;6854.058372463436;6854.058372463436;0.0;6548.159812825662;6548.159812825662;3435.394019025;0.0;5315.0;0.0;0.0;8788.0;-8833.168101286514;-8486.0136;-347.15450128651366;0.0;14829.0;-1748.07770012005;0.0
24;69.38282426875698;69622.6653841217;14828.998613770134;14829.0;14828.998613770134;449.46189986058414;1426.7804284807773;1426.7804284807773;6172.788732028399;6854.058372463436;6854.058372463436;0.0;6548.159812825662;6548.159812825662;3506.86525454;0.0;5315.0;0.0;0.0;8788.0;-8598.764792120714;-8260.5456;-338.2191921207149;0.0;14829.0;-1530.351184866941;0.0
