Timestep;EOM_price;CM_price;TotalCapOffer;Gen_A_Baseload;new_Capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_MidMerit;new_Capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_PV;new_Capacity_Gen_A_PV;Capacity_Gen_A_PV;Gen_A_Peak;new_Capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_Capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager;ENS_Cons_A
11.0;45.77;31290.27;43884.06;22218.0;27755.81;27755.81;0.0;9532.23;9532.23;28515.0;0.0;86952.0;0.0;6596.01;6596.01;13914.0;0.0;72618.0;62329.46;59863.68;2465.78;45048.31;-2317.54;1164.26;0.0
12.0;34.43;31290.27;43884.06;8036.81;27755.81;27755.81;0.0;9532.23;9532.23;35306.25;0.0;86952.0;0.0;6596.01;6596.01;14956.25;0.0;72618.0;60162.03;57775.44;2386.59;45048.31;1862.72;1164.26;0.0
13.0;28.45;31290.27;43884.06;561.38;27755.81;27755.81;0.0;9532.23;9532.23;39113.0;0.0;86952.0;0.0;6596.01;6596.01;16080.75;0.0;72618.0;57893.53;55593.6;2299.93;45048.31;2138.39;1164.26;0.0
14.0;0.0;31290.27;43884.06;0.0;27755.81;27755.81;0.0;9532.23;9532.23;39785.75;0.0;86952.0;0.0;6596.01;6596.01;16822.25;0.0;72618.0;56958.25;54679.92;2278.33;45048.31;350.25;1164.26;0.0
15.0;0.0;31290.27;43884.06;0.0;27755.81;27755.81;0.0;9532.23;9532.23;37818.25;0.0;86952.0;0.0;6596.01;6596.01;18305.27;0.0;72618.0;55617.5;53392.8;2224.7;45048.31;-506.02;1164.26;0.0
16.0;32.76;31290.27;43884.06;5944.06;27755.81;27755.81;0.0;9532.23;9532.23;33166.75;0.0;86952.0;0.0;6596.01;6596.01;14724.7;0.0;72618.0;54819.04;52643.52;2175.52;45048.31;983.53;1164.26;0.0
17.0;32.05;31290.27;43884.06;5063.59;27755.81;27755.81;0.0;9532.23;9532.23;26151.75;0.0;86952.0;0.0;6596.01;6596.01;24635.0;0.0;72618.0;54704.96;52533.6;2171.36;45048.31;-1145.38;1164.26;0.0
18.0;42.01;31290.27;43884.06;17511.54;27755.81;27755.81;0.0;9532.23;9532.23;16499.25;0.0;86952.0;0.0;6596.01;6596.01;26239.75;0.0;72618.0;56492.51;54255.6;2236.91;45048.31;-3758.03;1164.26;0.0
19.0;111.65;31290.27;43884.06;27755.81;27755.81;27755.81;9532.23;9532.23;9532.23;6593.5;0.0;86952.0;4705.68;6596.01;6596.01;26005.25;0.0;72618.0;80210.22;80210.21;0.01;45048.31;5617.75;1164.26;15789.79
20.0;1309.71;31290.27;43884.06;27755.81;27755.81;27755.81;9532.23;9532.23;9532.23;1033.5;0.0;86952.0;6596.01;6596.01;6596.01;4894.1;0.0;72618.0;52162.87;52162.86;0.01;45048.31;2351.22;1164.26;5329.86
21.0;477.14;31290.27;43884.06;27755.81;27755.81;27755.81;9532.23;9532.23;9532.23;5.0;0.0;86952.0;6596.01;6596.01;6596.01;13883.4;0.0;72618.0;58605.92;57020.4;1585.52;45048.31;833.47;1164.26;0.0
22.0;71.53;31290.27;43884.06;27755.81;27755.81;27755.81;6417.18;9532.23;9532.23;0.0;0.0;86952.0;0.0;6596.01;6596.01;29112.0;0.0;72618.0;57284.99;55032.96;2252.03;45048.31;-6000.0;1164.26;0.0
23.0;62.54;31290.27;43884.06;27755.81;27755.81;27755.81;3605.06;9532.23;9532.23;0.0;0.0;86952.0;0.0;6596.01;6596.01;28376.25;0.0;72618.0;53737.12;51619.92;2117.2;45048.31;-6000.0;1164.26;0.0
